"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2018","6.4205","6.4003","6.4762","6.3485","11.86M","0.09%"
"09/14/2018","6.4147","6.4349","6.4512","6.3936","10.76M","-0.09%"
"09/17/2018","6.3677","6.3955","6.4790","6.3638","17.04M","-0.73%"
"09/18/2018","6.4387","6.3706","6.4387","6.3475","14.41M","1.12%"
"09/19/2018","6.4310","6.4320","6.4627","6.3600","19.11M","-0.12%"
"09/20/2018","6.5846","6.4272","6.6010","6.4272","24.05M","2.39%"
"09/21/2018","6.5770","6.6048","6.6979","6.5309","88.93M","-0.12%"
"09/24/2018","6.5568","6.5568","6.5942","6.5242","12.00M","-0.31%"
"09/25/2018","6.5088","6.5549","6.6269","6.5088","20.66M","-0.73%"
"09/26/2018","6.6125","6.5395","6.6211","6.5011","15.32M","1.59%"
"09/27/2018","6.6749","6.6000","6.7018","6.5328","13.47M","0.94%"
"09/28/2018","6.5453","6.6336","6.6336","6.4877","17.45M","-1.94%"
"10/01/2018","6.5549","6.5549","6.6307","6.5261","10.83M","0.15%"
"10/02/2018","6.4829","6.5222","6.5318","6.4714","17.26M","-1.10%"
"10/03/2018","6.6403","6.5664","6.6710","6.5270","14.07M","2.43%"
"10/04/2018","6.6816","6.6422","6.7392","6.6010","14.42M","0.62%"
"10/05/2018","6.6432","6.6691","6.7018","6.6144","11.05M","-0.57%"
"10/08/2018","6.6989","6.6384","6.7238","6.6144","18.39M","0.84%"
"10/09/2018","6.7277","6.7200","6.7584","6.6240","12.81M","0.43%"
"10/10/2018","6.8016","6.7277","6.8582","6.6835","23.07M","1.10%"
"10/11/2018","6.7325","6.7171","6.8534","6.6730","24.76M","-1.02%"
"10/12/2018","6.6720","6.7872","6.7978","6.6355","14.22M","-0.90%"
"10/15/2018","6.7603","6.6691","6.7738","6.6374","13.63M","1.32%"
"10/16/2018","6.7478","6.7949","6.8352","6.7478","11.20M","-0.18%"
"10/17/2018","6.6720","6.7584","6.7862","6.6326","22.03M","-1.12%"
"10/18/2018","6.6000","6.6854","6.7776","6.6000","30.45M","-1.08%"
"10/19/2018","6.6931","6.6240","6.7238","6.5558","30.59M","1.41%"
"10/22/2018","6.6624","6.7699","6.7834","6.6547","10.94M","-0.46%"
"10/23/2018","6.6077","6.6086","6.6557","6.5789","18.86M","-0.82%"
"10/24/2018","6.5885","6.6346","6.7229","6.5885","23.49M","-0.29%"
"10/25/2018","6.6538","6.5702","6.7181","6.5702","26.57M","0.99%"
"10/26/2018","6.5741","6.6038","6.6346","6.5040","18.31M","-1.20%"
"10/29/2018","6.7411","6.6106","6.7786","6.6000","22.11M","2.54%"
"10/30/2018","6.7594","6.7517","6.7738","6.6912","12.27M","0.27%"
"10/31/2018","6.9485","6.9216","7.0310","6.8352","35.78M","2.80%"
"11/01/2018","7.0531","6.9658","7.1136","6.9485","26.98M","1.51%"
